image_id,question_id,answers,question,image_path
51606,516065,"['pony tail', 'pony tail', 'pony tail', 'pony tail', 'pony tail', 'pony tail', 'braid', 'braid', 'ponytail', 'ponytail']",What is the hairstyle of the blond called?,COCO_train2014_000000051606.jpg
81721,817215,"['18', '18', '18', '18', '18', '18', '18', '18', '18', '18']",How old do you have to be in canada to do this?,COCO_train2014_000000081721.jpg
480208,4802085,"['aspen', 'aspen', 'mountains', 'mountains', 'mountain', 'mountain', 'colorado', 'colorado', 'vale co', 'vale co']",Can you guess the place where the man is playing?,COCO_train2014_000000480208.jpg
570618,5706185,"['santa fe', 'santa fe', 'santa fe', 'santa fe', 'new england', 'new england', 'bnsf', 'bnsf', 'sante fe', 'sante fe']",Which rail company is named after a town in new mexico?,COCO_train2014_000000570618.jpg
478903,4789035,"['another activity', 'another activity', 'another activity', 'another activity', 'wakeboarding', 'wakeboarding', 'fishing', 'fishing', 'surfing', 'surfing']",Is the boy swimming or doing another water activity?,COCO_train2014_000000478903.jpg
542651,5426515,"['curious', 'curious', 'curious', 'curious', 'unusual', 'unusual', 'not taught manners', 'not taught manners', 'scared', 'scared']",Why do kids stare?,COCO_train2014_000000542651.jpg
25024,250245,"['1926', '1926', '1926', '1926', '1960s', '1960s', '1965', '1965', 'surfboard', 'surfboard']",When was this piece of sporting equipment invented?,COCO_train2014_000000025024.jpg
2056,20565,"['patrol', 'patrol', 'patrol', 'patrol', 'crowd control', 'crowd control', 'fast', 'fast', 'he is mounted officer', 'he is mounted officer']",Why is this officer using this mode of transportation?,COCO_train2014_000000002056.jpg
179526,1795265,"['clown', 'clown', 'clown', 'clown', 'clown', 'clown', 'sad clown', 'sad clown', 'not in circus', 'not in circus']",Why is this an atypical look for someone wearing this makeup?,COCO_train2014_000000179526.jpg
386927,3869275,"['theodore roosevelt', 'theodore roosevelt', 'theodore roosevelt', 'theodore roosevelt', 'teddy roosevelt', 'teddy roosevelt', 'george w bush', 'george w bush', 'roosevelt', 'roosevelt']",Which american president is most associated with the stuffed animal seen here?,COCO_train2014_000000386927.jpg
407809,4078095,"['doberman', 'doberman', 'doberman', 'doberman', 'labrador retriever', 'labrador retriever', 'labrador retriever', 'labrador retriever', 'lab', 'lab']",Which breed of dog it this?,COCO_train2014_000000407809.jpg
214137,2141375,"['madagascar', 'madagascar', 'madagascar', 'madagascar', 'madagascar', 'madagascar', 'madagascar', 'madagascar', 'madagascar', 'madagascar']",What is the name of the famous dreamworks animated film where this animal was voiced by chris rock?,COCO_train2014_000000214137.jpg
139878,1398785,"['poles', 'poles', 'poles', 'poles', 'helmet', 'helmet', 'ski poles', 'ski poles', 'ski', 'ski']",What objects is this person using to help them ski?,COCO_train2014_000000139878.jpg
460095,4600955,"['no scruffy', 'no scruffy', 'no scruffy', 'no scruffy', 'no hairy', 'no hairy', 'stubble', 'stubble', 'no stubble', 'no stubble']",Has this guy shaved his beard today how do you know?,COCO_train2014_000000460095.jpg
410622,4106225,"['jail', 'jail', 'jail', 'jail', 'jail', 'jail', 'prison', 'prison', 'prison', 'prison']",Where would i find this room?,COCO_train2014_000000410622.jpg
40085,400855,"['toys r us', 'toys r us', 'toys r us', 'toys r us', 'toys r us', 'toys r us', 'toys r us', 'toys r us', 'toys r us', 'toys r us']",What toy store used a mascot similar to these animals for many years?,COCO_train2014_000000040085.jpg
166533,1665335,"['dish soap', 'dish soap', 'dish soap', 'dish soap', 'soap', 'soap', 'water', 'water', 'dishsoap', 'dishsoap']",What would the red bottle next to the sink probably contain?,COCO_train2014_000000166533.jpg
9745,97455,"['100 miles', '100 miles', '100 miles', '100 miles', '4 hours', '4 hours', '3 hours', '3 hours', '7 hours', '7 hours']",How long can this vessel travel?,COCO_train2014_000000009745.jpg
473100,4731005,"['eagle', 'eagle', 'eagle', 'eagle', 'eagle', 'eagle', 'eagle', 'eagle', 'bald eagle', 'bald eagle']",What bird appears in this picture?,COCO_train2014_000000473100.jpg
52153,521535,"['birthday party', 'birthday party', 'birthday party', 'birthday party', 'new years', 'new years', 'birthday', 'birthday', 'party', 'party']",What event are they setting up for?,COCO_train2014_000000052153.jpg
75643,756435,"['politics', 'politics', 'politics', 'politics', 'problems', 'problems', 'table', 'table', 'laws', 'laws']",What is this meeting about?,COCO_train2014_000000075643.jpg
97747,977475,"['mississippi', 'mississippi', 'mississippi', 'mississippi', 'dirty', 'dirty', 'fox', 'fox', 'thames', 'thames']",What's the name of this river?,COCO_train2014_000000097747.jpg
447977,4479775,"['outdoors', 'outdoors', 'outdoors', 'outdoors', 'outdoors', 'outdoors', 'outdoors', 'outdoors', 'outdoor', 'outdoor']",Is the scene indoors or outdoors?,COCO_train2014_000000447977.jpg
183240,1832405,"['saint bernard', 'saint bernard', 'saint bernard', 'saint bernard', 'saint bernard', 'saint bernard', 'st bernard', 'st bernard', 'bulldog', 'bulldog']",What kind of dog is in the photo?,COCO_train2014_000000183240.jpg
316170,3161705,"['croissant', 'croissant', 'croissant', 'croissant', 'pastry', 'pastry', 'cressoint', 'cressoint', 'croissaint', 'croissaint']",What is on the round plate?,COCO_train2014_000000316170.jpg
128264,1282645,"['transport people', 'transport people', 'transport people', 'transport people', 'tours', 'tours', 'transport', 'transport', 'ride', 'ride']",What does this vehicle usually do?,COCO_train2014_000000128264.jpg
456792,4567925,"['canal', 'canal', 'canal', 'canal', 'pacific', 'pacific', 'white nile', 'white nile', 'panama canal', 'panama canal']",What is the largest of this type of waterway?,COCO_train2014_000000456792.jpg
382997,3829975,"['pastry', 'pastry', 'pastry', 'pastry', 'pastries', 'pastries', 'pastries', 'pastries', 'cupcake', 'cupcake']",What kind of desserts are this?,COCO_train2014_000000382997.jpg
229525,2295255,"['on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on', 'on']",Are the lightswitches on or off?,COCO_train2014_000000229525.jpg
